ID,OffID,Pop,Fruit,Selfed,Hac_C7,Hac_D1,Hb_B9,Hb_C115,Hac_C114,Hac_B6,Hac_B4,Hac_A103,Hac_A116,Hc_C7,Hc_C126
10C,7,10,10C5,No,225:225,180:180,357:360,276:288,372:372,NA,240:243,194:194,302:302,348:348,249:270
10C,8,10,10C6,No,219:219,180:183,354:357,285:288,372:372,285:285,240:252,194:194,302:302,NA,NA
10C,9,10,10C6,No,225:225,180:180,357:360,288:288,372:372,285:291,249:258,194:194,302:302,345:348,249:249
10C,10,10,10C7,No,219:222,180:183,348:357,288:288,372:372,285:288,240:252,194:200,302:302,342:348,249:270
10C,11,10,10C8,No,219:225,180:180,357:360,285:288,372:372,285:291,240:252,190:194,302:302,339:348,249:270
10C,12,10,10C8,No,219:219,180:180,354:357,288:297,372:372,NA,237:240,194:194,302:302,342:351,249:249
10C,13,10,10C9,No,219:225,180:180,348:360,285:288,372:372,285:291,240:252,194:194,302:302,342:354,249:270
10C,14,10,10C9,No,219:225,180:183,348:348,288:297,372:372,285:291,252:258,194:200,302:302,345:348,249:249
10C,15,10,10C10,Yes,219:225,180:180,357:357,288:288,372:372,285:285,240:258,194:194,302:302,NA,249:249
10D,0,10,NA,No,222:225,180:189,345:357,276:288,372:372,291:291,240:243,190:198,302:302,345:357,249:249
10D,1,10,10D1,No,225:225,180:183,357:360,285:288,372:372,291:291,243:252,194:198,302:302,345:357,249:249
10D,2,10,10D1,No,225:225,180:183,348:357,276:276,372:372,291:291,237:240,186:198,302:302,345:348,249:249
10D,3,10,10D2,No,225:225,180:180,NA,288:288,372:372,285:291,NA,NA,302:302,NA,249:249
10D,4,10,10D2,No,225:225,180:180,NA,276:282,372:372,NA,237:240,198:198,302:302,345:357,249:249
10D,5,10,10D2,No,222:225,180:180,345:360,288:288,372:372,285:291,237:240,196:198,302:302,345:348,249:249
10D,6,10,10D3,No,222:222,180:183,345:360,288:288,372:372,285:291,243:246,190:206,302:302,354:357,249:249
10D,7,10,10D4,No,222:225,180:183,348:357,288:288,372:372,291:291,237:240,NA,302:302,357:357,249:249
10D,8,10,10D5,No,NA,180:180,345:345,276:276,372:372,NA,237:243,NA,300:302,345:357,249:249
10D,9,10,10D6,No,219:222,177:180,342:357,288:288,372:372,291:291,237:240,198:198,302:302,345:345,249:249
10D,10,10,10D6,No,NA,NA,NA,NA,372:372,291:291,NA,190:196,302:302,357:357,249:249
10E,0,10,NA,No,225:225,180:189,360:360,288:288,372:372,285:291,234:240,194:194,302:302,345:354,249:249
10E,1,10,10E1,No,225:225,180:180,348:348,288:288,372:375,285:285,231:234,186:194,302:302,348:354,249:249
10E,2,10,10E1,No,225:225,180:180,354:360,288:288,372:372,291:291,240:252,194:200,302:302,345:354,249:270
10E,3,10,10E2,No,222:225,180:180,354:354,288:291,372:372,285:285,231:234,194:198,302:302,354:354,249:249
10E,4,10,10E2,Yes,225:225,180:180,357:357,288:288,372:372,291:291,240:243,194:196,302:302,345:345,249:249
10E,5,10,10E3,Yes,225:225,180:180,360:360,288:288,372:372,291:291,234:240,194:194,302:302,345:354,249:249
10E,6,10,10E3,No,225:225,180:180,348:360,288:288,372:372,285:285,234:258,194:194,302:302,345:345,249:270
10E,7,10,10E4,No,225:225,180:183,360:360,276:288,372:372,291:291,237:240,194:194,302:302,342:354,249:249
10E,8,10,10E4,No,225:225,180:180,357:357,276:288,372:372,291:291,237:240,194:194,302:302,345:345,249:249
10E,9,10,10E5,No,225:225,180:180,357:360,285:288,372:372,291:291,240:252,194:200,302:302,345:351,249:249
10E,10,10,10E6,No,225:225,180:180,360:360,288:288,372:375,285:285,234:252,194:200,302:302,345:354,249:249
12A,0,12,NA,No,219:225,180:183,357:363,297:297,372:372,285:285,240:252,192:200,292:302,345:354,249:249
12A,1,12,12A1,No,219:225,183:186,357:366,288:297,372:372,285:285,240:252,194:200,292:294,345:348,249:249
12A,2,12,12A1,No,225:225,183:186,357:366,288:297,372:372,285:285,252:255,194:200,292:302,345:345,249:249
12A,3,12,12A1,No,225:225,183:186,363:363,288:288,372:372,285:285,252:255,NA,NA,NA,249:249
12A,4,12,12A2,Yes,219:219,183:183,357:363,288:297,372:372,285:285,240:255,192:192,NA,NA,249:249
12A,5,12,12A2,No,219:225,180:183,357:357,288:297,372:372,285:291,240:252,194:200,302:302,345:354,249:249
12A,6,12,12A2,No,225:225,183:183,345:357,282:282,372:372,285:291,240:240,194:200,290:292,345:345,249:249
12A,7,12,12A3,No,225:225,180:183,357:366,276:297,372:372,285:285,237:240,192:192,302:302,345:345,249:249
12A,8,12,12A3,Yes,225:225,183:183,357:363,285:285,366:372,291:291,NA,192:192,302:302,354:354,249:249
12A,9,12,12A4,No,225:225,180:180,357:357,285:297,372:372,288:288,240:252,198:200,302:302,348:354,249:249
12A,10,12,12A4,Yes,225:225,180:183,357:363,285:285,372:372,285:285,240:252,NA,302:302,345:345,249:249
12C,0,12,NA,No,225:225,180:189,357:357,276:285,372:372,288:288,249:252,194:200,302:302,345:348,249:249
12C,1,12,12C1,Yes,225:225,180:180,357:357,276:285,372:372,NA,249:252,194:200,302:302,327:348,249:249
12C,2,12,12C1,No,225:225,180:180,357:357,276:288,372:372,285:288,237:240,194:194,302:302,345:345,249:249
12C,3,12,12C1,Yes,225:225,180:180,357:357,285:285,372:372,288:291,NA,194:194,302:302,345:348,249:249
12C,4,12,12C2,No,225:225,180:183,357:366,276:285,372:372,288:291,249:252,194:194,302:302,345:348,249:249
12C,5,12,12C2,No,225:225,180:183,357:357,NA,372:372,288:288,249:252,192:200,302:302,345:348,249:249
12C,6,12,12C2,Yes,225:225,180:180,357:357,285:285,372:372,288:288,249:252,192:200,302:302,345:345,249:249
12C,7,12,12C3,No,225:225,180:180,357:360,276:288,372:372,288:288,249:252,NA,302:302,345:348,249:249
12C,8,12,12C3,No,225:225,180:183,357:357,276:276,372:372,288:291,NA,198:200,302:302,345:348,249:249
12C,9,12,12C4,No,225:225,177:180,357:360,285:294,372:372,NA,NA,194:194,302:302,345:354,249:249
12C,10,12,12C4,No,219:225,180:180,348:357,NA,372:372,288:288,249:255,194:194,302:302,348:348,249:249
12D,0,12,NA,No,219:225,183:183,360:360,276:285,372:372,285:291,243:252,200:206,302:302,345:348,249:249
12D,1,12,12D1,No,225:225,183:183,348:360,285:285,372:372,285:285,240:243,194:206,302:302,345:348,249:249
12D,2,12,12D1,No,219:225,183:183,357:360,276:285,372:372,285:291,240:243,194:200,302:302,348:360,249:249
12D,3,12,12D2,No,225:225,180:183,360:363,276:297,372:372,285:291,240:252,192:200,292:302,345:348,249:249
12D,4,12,12D2,No,219:219,180:183,360:363,276:282,372:372,285:285,243:252,200:206,292:302,345:345,249:249
12D,5,12,12D3,No,219:219,180:183,360:369,276:288,372:372,285:285,243:243,192:206,302:302,348:357,249:249
12D,6,12,12D3,No,219:219,183:183,360:369,276:276,372:372,285:285,243:252,194:200,302:302,345:357,249:255
